Country,Currency,CCode,DCode
Чилі,Чилійське песо,CLP,152
Чилі,Умовна розрахункова одиниця Чилі,CLF,990
Чорногорія,Євро,EUR,978
Швейцарія,Швейцарський франк,CHF,756
Швейцарія,Євро WIR,CHE,947
Швейцарія,Франк WIR,CHW,948
Швеція,Шведська крона,SEK,752
Шпіцберґен та Ян-Маєн,Норвезька крона,NOK,578
Шрі-Ланка,Рупія Шрі-Ланки,LKR,144
Ямайка,Ямайський долар,JMD,388
Японія,Єна,JPY,392
